match_id,team,xg_for,xg_against,onclick,match,tooltip_lab
3916112,Portsmouth,0.81,1.19,"window.open(""https://www.fotmob.com//match/3916112/matchfacts/bolton-wanderers-vs-portsmouth"")",Bolton Wanderers vs Portsmouth,"<b>Match</b>: Bolton Wanderers vs Portsmouth
<b>xG For</b>: 0.81
<b>xG Against</b>: 1.19"
3916113,Accrington Stanley,1.13,0.46,"window.open(""https://www.fotmob.com//match/3916113/matchfacts/accrington-stanley-vs-bristol-rovers"")",Accrington Stanley vs Bristol Rovers,"<b>Match</b>: Accrington Stanley vs Bristol Rovers
<b>xG For</b>: 1.13
<b>xG Against</b>: 0.46"
3916113,Bristol Rovers,0.46,1.13,"window.open(""https://www.fotmob.com//match/3916113/matchfacts/accrington-stanley-vs-bristol-rovers"")",Accrington Stanley vs Bristol Rovers,"<b>Match</b>: Accrington Stanley vs Bristol Rovers
<b>xG For</b>: 0.46
<b>xG Against</b>: 1.13"
3916114,Wycombe Wanderers,1.4,1.27,"window.open(""https://www.fotmob.com//match/3916114/matchfacts/wycombe-wanderers-vs-oxford-united"")",Wycombe Wanderers vs Oxford United,"<b>Match</b>: Wycombe Wanderers vs Oxford United
<b>xG For</b>: 1.4
<b>xG Against</b>: 1.27"
3916114,Oxford United,1.27,1.4,"window.open(""https://www.fotmob.com//match/3916114/matchfacts/wycombe-wanderers-vs-oxford-united"")",Wycombe Wanderers vs Oxford United,"<b>Match</b>: Wycombe Wanderers vs Oxford United
<b>xG For</b>: 1.27
<b>xG Against</b>: 1.4"
3916115,Port Vale,1.16,2.57,"window.open(""https://www.fotmob.com//match/3916115/matchfacts/port-vale-vs-derby-county"")",Port Vale vs Derby County,"<b>Match</b>: Port Vale vs Derby County
<b>xG For</b>: 1.16
<b>xG Against</b>: 2.57"
3916115,Derby County,2.57,1.16,"window.open(""https://www.fotmob.com//match/3916115/matchfacts/port-vale-vs-derby-county"")",Port Vale vs Derby County,"<b>Match</b>: Port Vale vs Derby County
<b>xG For</b>: 2.57
<b>xG Against</b>: 1.16"
3916116,Milton Keynes Dons,0.95,0.43,"window.open(""https://www.fotmob.com//match/3916116/matchfacts/milton-keynes-dons-vs-shrewsbury-town"")",Milton Keynes Dons vs Shrewsbury Town,"<b>Match</b>: Milton Keynes Dons vs Shrewsbury Town
<b>xG For</b>: 0.95
<b>xG Against</b>: 0.43"
3916116,Shrewsbury Town,0.43,0.95,"window.open(""https://www.fotmob.com//match/3916116/matchfacts/milton-keynes-dons-vs-shrewsbury-town"")",Milton Keynes Dons vs Shrewsbury Town,"<b>Match</b>: Milton Keynes Dons vs Shrewsbury Town
<b>xG For</b>: 0.43
<b>xG Against</b>: 0.95"
3916117,Ipswich Town,1.93,0.14,"window.open(""https://www.fotmob.com//match/3916117/matchfacts/ipswich-town-vs-morecambe"")",Ipswich Town vs Morecambe,"<b>Match</b>: Ipswich Town vs Morecambe
<b>xG For</b>: 1.93
<b>xG Against</b>: 0.14"
3916117,Morecambe,0.14,1.93,"window.open(""https://www.fotmob.com//match/3916117/matchfacts/ipswich-town-vs-morecambe"")",Ipswich Town vs Morecambe,"<b>Match</b>: Ipswich Town vs Morecambe
<b>xG For</b>: 0.14
<b>xG Against</b>: 1.93"
3916118,Fleetwood Town,0.8,1.49,"window.open(""https://www.fotmob.com//match/3916118/matchfacts/fleetwood-town-vs-portsmouth"")",Fleetwood Town vs Portsmouth,"<b>Match</b>: Fleetwood Town vs Portsmouth
<b>xG For</b>: 0.8
<b>xG Against</b>: 1.49"
